2026-08-19T00:35:16.404 [DEBUG] desktop_shell::map_webview: map_webview: 开始异步创建 WebView（page=BlockPreview, generation=4, 上报状态=true）
2026-08-19T00:35:16.610 [DEBUG] desktop_shell::map_webview: map_webview: notify_status(page=BlockPreview, generation=4, available=true)
2026-08-19T00:35:18.650 [INFO ] desktop_shell::production::preview_entry: map_session: 3D 预览页 IPC：{"type":"preview_stats","payload":{"fps":163,"blocks":0,"quads":0}}
2026-08-19T00:35:20.652 [INFO ] desktop_shell::production::preview_entry: map_session: 3D 预览页 IPC：{"type":"preview_stats","payload":{"fps":165,"blocks":0,"quads":0}}
2026-08-19T00:35:22.655 [INFO ] desktop_shell::production::preview_entry: map_session: 3D 预览页 IPC：{"type":"preview_stats","payload":{"fps":165,"blocks":0,"quads":0}}
2026-08-19T00:35:24.657 [INFO ] desktop_shell::production::preview_entry: map_session: 3D 预览页 IPC：{"type":"preview_stats","payload":{"fps":165,"blocks":0,"quads":0}}
2026-08-19T00:35:26.660 [INFO ] desktop_shell::production::preview_entry: map_session: 3D 预览页 IPC：{"type":"preview_stats","payload":{"fps":165,"blocks":0,"quads":0}}
2026-08-19T00:35:28.663 [INFO ] desktop_shell::production::preview_entry: map_session: 3D 预览页 IPC：{"type":"preview_stats","payload":{"fps":165,"blocks":0,"quads":0}}
2026-08-19T00:35:30.666 [INFO ] desktop_shell::production::preview_entry: map_session: 3D 预览页 IPC：{"type":"preview_stats","payload":{"fps":162,"blocks":0,"quads":0}}
2026-08-19T00:35:32.669 [INFO ] desktop_shell::production::preview_entry: map_session: 3D 预览页 IPC：{"type":"preview_stats","payload":{"fps":165,"blocks":0,"quads":0}}
2026-08-19T00:35:34.672 [INFO ] desktop_shell::production::preview_entry: map_session: 3D 预览页 IPC：{"type":"preview_stats","payload":{"fps":165,"blocks":0,"quads":0}}
2026-08-19T00:35:36.674 [INFO ] desktop_shell::production::preview_entry: map_session: 3D 预览页 IPC：{"type":"preview_stats","payload":{"fps":165,"blocks":0,"quads":0}}
